City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Spearfish,US,44.4908,-103.8594,37.99,25,1,12.66,clear sky
1,Neyvo-Shaytanskiy,RU,57.7286,61.2496,9.07,95,100,2.33,overcast clouds
2,Port Alfred,ZA,-33.5906,26.891,68.0,89,56,18.16,broken clouds
3,Mombetsu,JP,44.3525,143.3525,27.0,75,100,3.0,overcast clouds
4,Fortuna,US,40.5982,-124.1573,57.2,88,1,6.58,clear sky
5,Prince Rupert,CA,54.3161,-130.3201,48.2,76,90,5.75,light rain
6,Srostki,RU,52.4189,85.7022,-5.53,87,100,2.73,overcast clouds
7,Georgetown,MY,5.4112,100.3354,78.01,88,20,8.05,few clouds
8,Narsaq,GL,60.9167,-46.05,23.0,50,75,10.36,snow
9,San Policarpo,PH,12.1791,125.5072,80.76,84,68,4.76,broken clouds
10,Langxiang,CN,46.95,128.8833,-13.83,87,0,3.36,clear sky
11,Hay River,CA,60.8156,-115.7999,19.4,86,100,3.44,overcast clouds
12,Adrar,MR,20.5022,-10.0711,61.86,26,100,12.01,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,70.3,50,16,2.17,few clouds
14,Avarua,CK,-21.2078,-159.775,80.6,83,75,10.36,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,78.91,66,21,7.27,few clouds
16,Busselton,AU,-33.65,115.3333,60.01,79,0,8.99,clear sky
17,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,89.6,58,75,5.75,broken clouds
18,Albany,US,42.6001,-73.9662,39.0,74,100,8.88,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,62.6,51,20,6.91,light rain
20,Tias,ES,28.9611,-13.645,62.6,59,75,14.97,broken clouds
21,Istanbul,TR,41.0351,28.9833,32.0,86,20,2.3,few clouds
22,Spirit River,CA,55.7833,-118.8361,42.01,52,20,23.02,few clouds
23,Kapaa,US,22.0752,-159.319,79.0,78,1,6.91,clear sky
24,Mafeteng,LS,-29.823,27.2374,62.02,92,100,5.28,light rain
25,Hobart,AU,-42.8794,147.3294,57.2,58,75,11.5,broken clouds
26,Hamilton,US,39.1834,-84.5333,41.0,60,75,6.91,broken clouds
27,Paciran,ID,-6.8767,112.3761,77.29,85,100,6.78,overcast clouds
28,Butaritari,KI,3.0707,172.7902,81.18,79,56,20.45,light rain
29,Hithadhoo,MV,-0.6,73.0833,81.23,78,98,15.5,overcast clouds
30,Bethel,US,41.3712,-73.414,39.99,81,90,8.05,overcast clouds
31,Longyearbyen,SJ,78.2186,15.6401,17.6,93,75,8.05,broken clouds
32,Vao,NC,-22.6667,167.4833,78.12,90,100,14.27,overcast clouds
33,Carnarvon,AU,-24.8667,113.6333,78.8,100,0,8.05,clear sky
34,Saldanha,ZA,-33.0117,17.9442,66.2,82,0,2.3,clear sky
